name,latitude,longitude
"Campus Studenți Noul Local UPB",44.438233,26.051395
"Casata",44.445504,26.098069
"Chiristigii",44.447326509041,26.127924439428
"Clinica Sfanta Lucia ",44.40575,26.137278
"Club Steaua",44.440007,26.074465
"Colegiul Tehnic Mihai Bravu",44.419472,26.135111
"Colegiul Tehnic Petru Maior",44.428785,26.050588
"Complex Comercial",44.39183,26.11729
"Complex Comercial ",44.39693,26.11472
"Complex Studentesc LEU - Cămine + Fac.Electrotehnică",44.432552,26.056545
"Cosmonautilor",44.444995,26.099916
"Cosmos Extindere ",44.441399551104,26.182280633416
"Cosmos Vechi ",44.4415445,26.1821383
"Creşa Popişteanu",44.472211,26.056609
"Ct 18 A",44.4376471,26.0967603
"Ct Aleea Trandafirilor",44.4665406,26.0796532
"Ct Amzei",44.4433436,26.0953565
"Ct B1 Dimitrov  ",44.4476523,26.1409217
"Ct Baciului ",44.3852913,26.0847566
"Ct Baneasa 1",44.4921402,26.0809988
"Ct Baneasa 2",44.4917551,26.0828596
"Ct Baneasa agronomi",44.4947215,26.0770449
"Ct Caporal Balan",44.4223084,26.1089162
"Ct Desisului",44.444515228271,26.032051086426
"Ct Directie",44.4328351,26.1062559
"Ct Doctor Sion",44.439425,26.0917943
"Ct Dorobanti",44.4561418,26.097922
"Ct Dunarea",44.4369993,26.1006883
"Ct Eroilor 1",44.4308904,26.0685955
"Ct Eroilor 2",44.4317365,26.0675335
"Ct Ferentari 72",44.404549,26.0769497
"Ct Ferentari Depou",44.3881308,26.0841628
"Ct Gemeni 1",44.4298825,26.0950782
"Ct Gemeni 2",44.4299056,26.0950473
"Ct Luterana",44.4388049,26.0932006
"Ct Magheru 7-9",44.4426637,26.0980817
"Ct Marasesti 3",44.4168825,26.1035795
"Ct Marasesti 6",44.4236355,26.1050042
"Ct Mozart",44.4613062,26.1062478
"Ct Paunasul Codrilor",44.4016134,26.0871995
"Ct Pavel Constantin ",44.3900175,26.0830356
"Ct Protopopescu",44.4635696,26.0973931
"Ct Republicii",44.4361953,26.1055177
"Ct Rosetti",44.3954255,26.0688622
"Ct Salaj",44.395478,26.068746
"Ct Scala",44.4404041,26.1006095
"Ct Scoala Ferentari ",44.3924765,26.0802475
"Ct Stirbei Voda ",44.439713,26.079397
"Ct Turn Palat",44.4373913,26.0952268
"Ct Turturele",44.4276675,26.1257568
"Ct Victoriei",44.4426509,26.0926711
"Ct Viilor",44.4079566,26.0933466
"Ct Vistea",44.3922828,26.0778187
"Ct. A1 Dimitrov",44.4488864,26.1387796
"Curcani",44.380569,26.107296
"Cămin RADET - ApaNova",44.44316,26.014
"D 16",44.429904793384,26.160802166973
"D Chibrit",44.472168,26.050519
"D.C.",44.415619,26.115967
"D11 Mihai Bravu ",44.4393926,26.1357183
"D18 Mihai Bravu ",44.438360802765,26.134342495818
"D3 Gara",44.446825,26.076773
"D5 Mihai Bravu ",44.4367743,26.1373873
"DACIA SERVICE SA",44.431919,26.000323
"DTM",44.463692,26.071292
"Dacia Ocazie (Automecanica)",44.429805,26.012588
"Dealul Cernei",44.381642433902,26.105116901351
"Depou Metrou Ciurel",44.440743,26.03786
"Depoul STB Bujoreni",44.426732,26.011662
"Depozit Medicamente",44.46588,26.072363
"Directia Generala a Finantelor Publice",44.432733,26.170043
"Direcția de impozite și taxe locale Sector 6",44.425635,26.050609
"Doina",44.408684,26.081339
"Dristor Insulă ",44.422659710699,26.137736210591
"Dumitru Petrescu",44.3816507,26.130737
"E1",44.427417,26.1124128
"E2 Vatra Luminoasa ",44.4377975,26.1407758
"E6",44.4272873,26.1186991
"F6",44.427067,26.1205503
"Facultatea Electrotehnica",44.436187,26.047777
"Facultatea de Hidroenergetică",44.438171,26.048603
"Facultatea de Mecanică",44.4409,26.049607
"Facultatea de Metalurgie",44.439355,26.052568
"Filiala ICEMENERG",44.405056,26.148556
"Floreasca",44.460711,26.100444
"Fundatia Romania Spiru Haret",44.406639,26.147444
"Fundatia Victor Babes",44.427775,26.140155
"G3 ",44.4262842,26.126932
"G3 Giulești",44.46146,26.041248
"Galvani Tei ",44.459736244268,26.11061765533
"Gara de Nord",44.447609,26.073923
"Garajul Parlamentului",44.4181169,26.1004637
"Garnizoana",44.445508,26.072436
"Garoafei",44.403021,26.061654
"Gioconda",44.428604,26.096243
"Giurgiu Farado",44.385540131115,26.091000978619
"Gradinita 195 - ""Prichindel""",44.432914,26.012347
"Grup Gospodăresc (Gradinița)",44.438281,26.043186
"Grădiniţa Nr.268 Scoala Nr.128",44.423287,26.081435
"Grădinița nr. 197, Școala nr. 117, Grădinița nr. 46",44.437649,26.036955
"Grădinița nr. 250",44.43813,26.02987
"Grădinița nr. 41, Școala Gimanziala nr. 59",44.41744,26.043084
"H.B-E.",44.402975,26.147546
"H1 Victor Manu ",44.4368622,26.1421398
"Hala TCM",44.4409,26.049607
"Hala TTI",44.437358,26.047439
"Hotel CONTINENTAL ",44.429852,26.08192
"Hotel Dunarea",44.447669,26.076376
"Hrisovului",44.480678459507,26.046482325849
"Huedin",44.383094497956,26.102480601346
"I Grivita",44.463128,26.056843
"I.P.R.E.C.",44.479046,26.065843
"I3",44.4255587,26.1305385
"IAGSC",44.408984,26.146269
"ICB",44.462771,26.121958
"ICECHIM",44.44115447998,26.069063
