incident_id,estimated_restore,first_seen_ts,last_seen_ts
cb9af611f985,2023-09-03T20:00,2023-09-03T19:00:01,2023-09-03T19:00:01
f6601b1128fb,2023-09-03T23:30,2023-09-03T21:00:01,2023-09-03T23:00:02
f6601b1128fb,2023-09-04T09:00,2023-09-04T01:00:01,2023-09-04T09:00:01
f6601b1128fb,2023-09-04T12:00,2023-09-04T10:00:01,2023-09-04T11:00:01
f6601b1128fb,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T14:00:02
f6601b1128fb,2023-09-04T20:30,2023-09-04T15:00:01,2023-09-04T21:00:01
f6601b1128fb,2023-09-05T12:00,2023-09-04T22:00:01,2023-09-05T12:00:01
ded66eb7e88a,2023-09-03T23:30,2023-09-03T21:00:01,2023-09-03T23:00:02
ded66eb7e88a,2023-09-04T09:00,2023-09-04T01:00:01,2023-09-04T09:00:01
4e44885363f4,2023-09-03T23:30,2023-09-03T21:00:01,2023-09-03T23:00:02
4e44885363f4,2023-09-04T09:00,2023-09-04T01:00:01,2023-09-04T09:00:01
4e44885363f4,2023-09-04T12:00,2023-09-04T10:00:01,2023-09-04T11:00:01
4e44885363f4,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T14:00:02
4e44885363f4,2023-09-04T20:30,2023-09-04T15:00:01,2023-09-04T21:00:01
4e44885363f4,2023-09-05T12:00,2023-09-04T22:00:01,2023-09-05T12:00:01
4e44885363f4,2023-09-05T13:00,2023-09-05T13:00:01,2023-09-05T13:00:01
286638b60706,2023-09-03T23:30,2023-09-03T21:00:01,2023-09-03T23:00:02
8f3323f22ec7,2023-09-03T23:30,2023-09-03T21:00:01,2023-09-03T23:00:02
66889630eb26,2023-09-03T23:30,2023-09-03T21:00:01,2023-09-03T23:00:02
918806128e24,2023-09-03T23:30,2023-09-03T21:00:01,2023-09-03T23:00:02
918806128e24,2023-09-04T10:00,2023-09-04T01:00:01,2023-09-04T01:00:01
4714663036ba,2023-09-03T23:30,2023-09-03T21:00:01,2023-09-03T23:00:02
48360aad460c,2023-09-03T23:30,2023-09-03T21:00:01,2023-09-03T23:00:02
befa8f1e175a,2023-09-03T23:30,2023-09-03T23:00:02,2023-09-03T23:00:02
62cfaa80cfbc,2023-09-03T23:30,2023-09-03T23:00:02,2023-09-03T23:00:02
b860399daabf,2023-09-03T23:30,2023-09-03T23:00:02,2023-09-03T23:00:02
e770cea19cea,2023-09-04T09:00,2023-09-04T01:00:01,2023-09-04T09:00:01
e770cea19cea,2023-09-04T12:00,2023-09-04T10:00:01,2023-09-04T11:00:01
e770cea19cea,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T14:00:02
be2313da5388,2023-09-04T10:00,2023-09-04T01:00:01,2023-09-04T10:00:01
be2313da5388,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
3db8c303480e,2023-09-04T10:00,2023-09-04T01:00:01,2023-09-04T01:00:01
35e8ca75435d,2023-09-04T10:00,2023-09-04T06:00:01,2023-09-04T10:00:01
35e8ca75435d,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
b698589766e1,2023-09-04T09:00,2023-09-04T07:00:02,2023-09-04T09:00:01
b698589766e1,2023-09-04T12:00,2023-09-04T10:00:01,2023-09-04T11:00:01
b698589766e1,2023-09-04T16:00,2023-09-04T12:00:01,2023-09-04T14:00:02
b698589766e1,2023-09-04T20:30,2023-09-04T15:00:01,2023-09-04T21:00:01
b698589766e1,2023-09-05T12:00,2023-09-04T22:00:01,2023-09-05T12:00:01
b698589766e1,2023-09-05T13:00,2023-09-05T13:00:01,2023-09-05T13:00:01
ce89053b43eb,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T09:00:01
f9578c27e851,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T08:00:01
de3752a884d3,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T08:00:01
675e3841b8d9,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T09:00:01
675e3841b8d9,2023-09-04T14:00,2023-09-04T10:00:01,2023-09-04T10:00:01
155759ae049d,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T09:00:01
034329af5032,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T09:00:01
034329af5032,2023-09-04T14:00,2023-09-04T10:00:01,2023-09-04T11:00:01
15f8dd48b8ef,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T08:00:01
96076fd933b3,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T10:00:01
96076fd933b3,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
b63b16635743,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T10:00:01
b63b16635743,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
0bccf7c5396a,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T10:00:01
0bccf7c5396a,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
46a8b10c7607,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T10:00:01
46a8b10c7607,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
2efe67e562ac,2023-09-04T10:00,2023-09-04T07:00:02,2023-09-04T10:00:01
2efe67e562ac,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
5e6d5727045d,2023-09-04T12:00,2023-09-04T08:00:01,2023-09-04T12:00:01
2e395d65092e,2023-09-04T12:30,2023-09-04T09:00:01,2023-09-04T10:00:01
4b30801749c2,2023-09-04T14:00,2023-09-04T09:00:01,2023-09-04T14:00:02
4c70dac65112,2023-09-04T14:00,2023-09-04T09:00:01,2023-09-04T14:00:02
b94479b1694d,2023-09-04T13:00,2023-09-04T09:00:01,2023-09-04T11:00:01
8521d81398fc,2023-09-04T12:00,2023-09-04T09:00:01,2023-09-04T10:00:01
531c9bc42a8f,2023-09-04T12:30,2023-09-04T09:00:01,2023-09-04T12:00:01
a4f67cde7acf,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T15:00:01
f972d7d7de96,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T16:00:01
a1b02ac725e4,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T09:00:01
de3b0d8ec955,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T13:00:01
08035be92c8a,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T15:00:01
b068bbc9c7ae,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T13:00:01
3ea27510d183,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T15:00:01
bcc681b6207a,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T16:00:01
63db45e8e0e8,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T13:00:01
3924dc812e4f,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T16:00:01
7cb9c98c071c,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T13:00:01
1db2cd64d345,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T15:00:01
343cdaa63823,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T15:00:01
11072c24b02e,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T13:00:01
3193625d0005,2023-09-04T16:00,2023-09-04T09:00:01,2023-09-04T16:00:01
2768d2ca0ee7,2023-09-04T12:30,2023-09-04T10:00:01,2023-09-04T12:00:01
1b8891597c19,2023-09-04T15:00,2023-09-04T10:00:01,2023-09-04T13:00:01
378d39dc661e,2023-09-04T12:00,2023-09-04T10:00:01,2023-09-04T11:00:01
dadd2d8954ba,2023-09-04T12:00,2023-09-04T10:00:01,2023-09-04T12:00:01
a2df07d8b9a7,2023-09-04T14:00,2023-09-04T10:00:01,2023-09-04T14:00:02
a2df07d8b9a7,2023-09-04T17:00,2023-09-04T15:00:01,2023-09-04T15:00:01
09c058a3443a,2023-09-04T13:00,2023-09-04T10:00:01,2023-09-04T13:00:01
bc8ef152a2af,2023-09-04T13:00,2023-09-04T10:00:01,2023-09-04T12:00:01
93c2531d13ce,2023-09-04T15:30,2023-09-04T10:00:01,2023-09-04T14:00:02
93c2531d13ce,2023-09-04T19:30,2023-09-04T15:00:01,2023-09-04T20:00:01
f1ac55c8b1b3,2023-09-04T15:30,2023-09-04T10:00:01,2023-09-04T13:00:01
ae0ee80cbed5,2023-09-04T15:30,2023-09-04T10:00:01,2023-09-04T13:00:01
1019a97f1e7d,2023-09-04T12:30,2023-09-04T10:00:01,2023-09-04T13:00:01
b335475241fc,2023-09-07T23:30,2023-09-04T10:00:01,2023-09-06T22:00:01
b383e8c3e393,2023-09-07T23:30,2023-09-04T10:00:01,2023-09-06T22:00:01
fef1494f8866,2023-09-07T23:30,2023-09-04T10:00:01,2023-09-06T22:00:01
39a99e54a146,2023-09-04T14:30,2023-09-04T11:00:01,2023-09-04T14:00:02
ecaca4813e9a,2023-09-04T12:30,2023-09-04T11:00:01,2023-09-04T12:00:01
a4e72ef9392c,2023-09-04T12:00,2023-09-04T11:00:01,2023-09-04T12:00:01
763ce4c68fb7,2023-09-08T23:00,2023-09-04T11:00:01,2023-09-08T01:00:01
04e5ea23818e,2023-09-08T23:00,2023-09-04T11:00:01,2023-09-08T01:00:01
2096168db942,2023-09-04T14:00,2023-09-04T11:00:01,2023-09-04T13:00:01
2096168db942,2023-09-04T23:30,2023-09-04T14:00:02,2023-09-04T22:00:01
2096168db942,2023-09-05T10:00,2023-09-05T00:00:01,2023-09-05T01:00:01
2096168db942,2023-09-05T20:00,2023-09-05T07:00:01,2023-09-05T20:00:01
2096168db942,2023-09-06T10:00,2023-09-05T21:00:01,2023-09-05T23:00:01
675993dc8389,2023-09-06T23:30,2023-09-04T11:00:01,2023-09-06T13:00:01
37a9fe6e0f95,2023-09-06T23:30,2023-09-04T11:00:01,2023-09-06T13:00:01
27dc6f351f96,2023-09-06T23:30,2023-09-04T11:00:01,2023-09-06T13:00:01
c07a26a13b70,2023-09-06T23:30,2023-09-04T11:00:01,2023-09-06T13:00:01
d1571497cdc5,2023-09-06T23:30,2023-09-04T11:00:01,2023-09-06T13:00:01
76f91acf6e8e,2023-09-06T23:30,2023-09-04T11:00:01,2023-09-06T13:00:01
6ff76163b29b,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
3d12e142ea7d,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
71d82bc67f15,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
aba3c485afe3,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
e8e325a4cb3e,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
849c90267667,2023-09-04T16:00,2023-09-04T11:00:01,2023-09-04T15:00:01
